表1
列1	列2	列3	列4	列5	
TRIM66	tripartite motif containing 66	C11orf29	"KIAA0298, TIF1D"	"chromosome 11 open reading frame 29, ""tripartite motif-containing 66"""	
TRIM67	tripartite motif containing 67		TNL	tripartite motif-containing 67	
TRIM68	tripartite motif containing 68	RNF137	"SS-56, FLJ10369"	"ring finger protein 137, ""tripartite motif-containing 68"""	
TRIM69	tripartite motif containing 69	RNF36	"Trif, TRIMLESS"	"ring finger protein 36, ""tripartite motif-containing 69"""	
TRIM71	tripartite motif containing 71		"LIN41, LIN-41"	"tripartite motif containing 71, E3 ubiquitin protein ligase"	
TRIM72	tripartite motif containing 72		MG53	"tripartite motif-containing 72, ""tripartite motif containing 72, E3 ubiquitin protein ligase"""	
TRIM73	tripartite motif containing 73	TRIM50B		"tripartite motif-containing 50B, ""tripartite motif-containing 73"""	
TRIM74	tripartite motif containing 74	TRIM50C	MGC45440	"tripartite motif-containing 50C, ""tripartite motif-containing 74"""	
TRIM75P	"tripartite motif containing 75, pseudogene"	TRIM75		"tripartite motif-containing 75, ""tripartite motif containing 75"""	
TRIM77	tripartite motif containing 77	TRIM77P		"tripartite motif-containing 77, ""tripartite motif containing 77, pseudogene"""	
TRIM77BP	"tripartite motif containing 77B, pseudogene"				
TRIM80P	"tripartite motif containing 80, pseudogene"		TRIM47LP		
TRIML1	tripartite motif family like 1		"FLJ36180, RNF209"		
TRIML2	tripartite motif family like 2		"FLJ25801, SPRYD6"		
TRIO	trio Rho guanine nucleotide exchange factor		ARHGEF23	triple functional domain (PTPRF interacting)	
TRIOBP	TRIO and F-actin binding protein	DFNB28	"HRIHFB2122, KIAA1662, Tara, TAP68"		
TRIP4	thyroid hormone receptor interactor 4		"HsT17391, ZC2HC5, ASC-1"		
TRIP6	thyroid hormone receptor interactor 6		"ZRP-1, OIP1, MGC10556, MGC10558, MGC29959, MGC3837, MGC4423"		
TRIP10	thyroid hormone receptor interactor 10	STOT	"STP, HSTP, CIP4"	salt tolerator	
TRIP11	thyroid hormone receptor interactor 11		"CEV14, Trip230, GMAP-210, GMAP210"		
TRIP12	thyroid hormone receptor interactor 12		KIAA0045		
TRIP13	thyroid hormone receptor interactor 13		16E1BP		
TRIQK	triple QxxK/R motif containing	C8orf83	"DKFZp779L1068, PRO0845, LOC286144"	chromosome 8 open reading frame 83	
TRIR	telomerase RNA component interacting RNase	C19orf43	"MGC2803, fSAP18, TERCIR"	chromosome 19 open reading frame 43	
TRIT1	tRNA isopentenyltransferase 1		"FLJ20061, IPT"		
TRK-CTT1-1	tRNA-Lys (CTT) 1-1	TRNAK13	tRNA-Lys-CTT-1-1	"transfer RNA lysine 13 (anticodon CUU), ""transfer RNA-Lys (CTT) 1-1"""	
TRK-CTT1-2	tRNA-Lys (CTT) 1-2	TRNAK6	tRNA-Lys-CTT-1-2	"transfer RNA lysine 6 (anticodon CUU), ""transfer RNA-Lys (CTT) 1-2"""	
TRK-CTT2-1	tRNA-Lys (CTT) 2-1	TRNAK20	tRNA-Lys-CTT-2-1	"transfer RNA lysine 20 (anticodon CUU), ""transfer RNA-Lys (CTT) 2-1"""	
TRK-CTT2-2	tRNA-Lys (CTT) 2-2	"TRNAK33, TRK-CTT2-3"	tRNA-Lys-CTT-2-2	"transfer RNA lysine 33 (anticodon CUU), ""transfer RNA-Lys (CTT) 2-3"", ""transfer RNA-Lys (CTT) 2-2"""	
TRK-CTT2-3	tRNA-Lys (CTT) 2-3	"TRK2, TRNAK2, TRK-CTT2-4"	tRNA-Lys-CTT-2-3	"tRNA lysine 2 (anticodon CUU), ""transfer RNA lysine 2 (anticodon CUU)"", ""transfer RNA-Lys (CTT) 2-4"", ""transfer RNA-Lys (CTT) 2-3"""	
TRK-CTT2-4	tRNA-Lys (CTT) 2-4	"TRNAK14, TRK-CTT2-5"	tRNA-Lys-CTT-2-4	"transfer RNA lysine 14 (anticodon CUU), ""transfer RNA-Lys (CTT) 2-5"", ""transfer RNA-Lys (CTT) 2-4"""	
TRK-CTT2-5	tRNA-Lys (CTT) 2-5	"TRNAK26, TRK-CTT2-2"	tRNA-Lys-CTT-2-5	"transfer RNA lysine 26 (anticodon CUU), ""transfer RNA-Lys (CTT) 2-2"", ""transfer RNA-Lys (CTT) 2-5"""	
TRK-CTT3-1	tRNA-Lys (CTT) 3-1	TRNAK15	tRNA-Lys-CTT-3-1	"transfer RNA lysine 15 (anticodon CUU), ""transfer RNA-Lys (CTT) 3-1"""	
TRK-CTT4-1	tRNA-Lys (CTT) 4-1	TRNAK9	tRNA-Lys-CTT-4-1	"transfer RNA lysine 9 (anticodon CUU), ""transfer RNA-Lys (CTT) 4-1"""	
TRK-CTT5-1	tRNA-Lys (CTT) 5-1	TRNAK21	tRNA-Lys-CTT-5-1	"transfer RNA lysine 21 (anticodon CUU), ""transfer RNA-Lys (CTT) 5-1"""	
TRK-CTT6-1	tRNA-Lys (CTT) 6-1	TRNAK4	tRNA-Lys-CTT-6-1	"transfer RNA lysine 4 (anticodon CUU), ""transfer RNA-Lys (CTT) 6-1"""	
TRK-CTT7-1	tRNA-Lys (CTT) 7-1	"TRNAL48, TRNAQ49P"	tRNA-Lys-CTT-7-1	"transfer RNA glutamine 49 (anticodon CUG) pseudogene, ""transfer RNA-Lys (CTT) 7-1"""	
TRK-CTT8-1	tRNA-Lys (CTT) 8-1	TRNAK24	tRNA-Lys-CTT-8-1	"transfer RNA lysine 24 (anticodon CUU), ""transfer RNA-Lys (CTT) 8-1"""	
TRK-CTT9-1	tRNA-Lys (CTT) 9-1	TRNAK18	tRNA-Lys-CTT-9-1	"transfer RNA lysine 18 (anticodon CUU), ""transfer RNA-Lys (CTT) 9-1"""	
TRK-CTT10-1	tRNA-Lys (CTT) 10-1	TRNAK30	tRNA-Lys-CTT-10-1	"transfer RNA lysine 30 (anticodon CUU), ""transfer RNA-Lys (CTT) 10-1"""	
TRK-CTT11-1	tRNA-Lys (CTT) 11-1	TRNAK28	tRNA-Lys-CTT-11-1	"transfer RNA lysine 28 (anticodon CUU), ""transfer RNA-Lys (CTT) 11-1"""	
TRK-CTT12-1	transfer RNA-Lys (CTT) 12-1	TRNAK36P	tRNA-Lys-CTT-12-1	transfer RNA lysine 36 (anticodon CUU) pseudogene	
TRK-CTT13-1	transfer RNA-Lys (CTT) 13-1	TRNAK35P	tRNA-Lys-CTT-13-1	transfer RNA lysine 35 (anticodon CUU) pseudogene	
TRK-CTT14-1	tRNA-Lys (CTT) 14-1	TRNAK37P	tRNA-Lys-CTT-14-1	"transfer RNA lysine 37 (anticodon CUU) pseudogene, ""transfer RNA-Lys (CTT) 14-1"""	
TRK-CTT15-1	transfer RNA-Lys (CTT) 15-1	TRNAK5	tRNA-Lys-CTT-15-1	transfer RNA lysine 5 (anticodon CUU)	
TRK-CTT16-1	transfer RNA-Lys (CTT) 16-1	TRNAK42P	tRNA-Lys-CTT-16-1	transfer RNA lysine 42 (anticodon CUU) pseudogene	
TRK-TTT1-1	tRNA-Lys (TTT) 1-1	TRNAK17	tRNA-Lys-TTT-1-1	"transfer RNA lysine 17 (anticodon UUU), ""transfer RNA-Lys (TTT) 1-1"""	
TRK-TTT2-1	tRNA-Lys (TTT) 2-1	TRNAK27	tRNA-Lys-TTT-2-1	"transfer RNA lysine 27 (anticodon UUU), ""transfer RNA-Lys (TTT) 2-1"""	
TRK-TTT3-1	tRNA-Lys (TTT) 3-1	TRNAK16	tRNA-Lys-TTT-3-1	"transfer RNA lysine 16 (anticodon UUU), ""transfer RNA-Lys (TTT) 3-1"""	
TRK-TTT3-2	tRNA-Lys (TTT) 3-2	TRNAK34	tRNA-Lys-TTT-3-2	"transfer RNA lysine 34 (anticodon UUU), ""transfer RNA-Lys (TTT) 3-2"""	
TRK-TTT3-3	tRNA-Lys (TTT) 3-3	"TRNAK22, TRK-TTT3-5"	tRNA-Lys-TTT-3-3	"transfer RNA lysine 22 (anticodon UUU), ""transfer RNA-Lys (TTT) 3-5"", ""transfer RNA-Lys (TTT) 3-3"""	
TRK-TTT3-4	tRNA-Lys (TTT) 3-4	"TRNAK3, TRK-TTT3-3"	tRNA-Lys-TTT-3-4	"transfer RNA lysine 3 (anticodon UUU), ""transfer RNA-Lys (TTT) 3-3"", ""transfer RNA-Lys (TTT) 3-4"""	
TRK-TTT3-5	tRNA-Lys (TTT) 3-5	"TRK1, TRNAK1, TRK-TTT3-4"	tRNA-Lys-TTT-3-5	"tRNA lysine 1, ""tRNA lysine 1 (anticodon UUU)"", ""transfer RNA lysine 1 (anticodon UUU)"", ""transfer RNA-Lys (TTT) 3-4"", ""transfer RNA-Lys (TTT) 3-5"""	
TRK-TTT4-1	tRNA-Lys (TTT) 4-1	TRNAK8	tRNA-Lys-TTT-4-1	"transfer RNA lysine 8 (anticodon UUU), ""transfer RNA-Lys (TTT) 4-1"""	
TRK-TTT5-1	tRNA-Lys (TTT) 5-1	TRNAK23	tRNA-Lys-TTT-5-1	"transfer RNA lysine 23 (anticodon UUU), ""transfer RNA-Lys (TTT) 5-1"""	
TRK-TTT6-1	tRNA-Lys (TTT) 6-1	TRNAK19	tRNA-Lys-TTT-6-1	"transfer RNA lysine 19 (anticodon UUU), ""transfer RNA-Lys (TTT) 6-1"""	
TRK-TTT7-1	tRNA-Lys (TTT) 7-1	TRNAK29	tRNA-Lys-TTT-7-1	"transfer RNA lysine 29 (anticodon UUU), ""transfer RNA-Lys (TTT) 7-1"""	
TRK-TTT8-1	tRNA-Lys (TTT) 8-1	TRNAK11	tRNA-Lys-TTT-8-1	"transfer RNA lysine 11 (anticodon UUU), ""transfer RNA-Lys (TTT) 8-1"""	
TRK-TTT9-1	tRNA-Lys (TTT) 9-1	TRNAK31	tRNA-Lys-TTT-9-1	"transfer RNA lysine 31 (anticodon UUU), ""transfer RNA-Lys (TTT) 9-1"""	
TRK-TTT10-1	transfer RNA-Lys (TTT) 10-1	TRNAK38P	tRNA-Lys-TTT-10-1	transfer RNA lysine 38 (anticodon UUU) pseudogene	
TRK-TTT11-1	tRNA-Lys (TTT) 11-1	TRNAK12	tRNA-Lys-TTT-11-1	"transfer RNA lysine 12 (anticodon UUU), ""transfer RNA-Lys (TTT) 11-1"""	
TRK-TTT12-1	transfer RNA-Lys (TTT) 12-1	TRNAK7	tRNA-Lys-TTT-12-1	transfer RNA lysine 7 (anticodon UUU)	
TRK-TTT13-1	transfer RNA-Lys (TTT) 13-1	TRNAK43P	tRNA-Lys-TTT-13-1	transfer RNA lysine 43 (anticodon UUU) pseudogene	
TRK-TTT14-1	tRNA-Lys (TTT) 14-1	TRNAK40P	tRNA-Lys-TTT-14-1	"transfer RNA lysine 40 (anticodon UUU) pseudogene, ""transfer RNA-Lys (TTT) 14-1"""	
TRK-TTT15-1	transfer RNA-Lys (TTT) 15-1	TRNAK39P	tRNA-Lys-TTT-15-1	transfer RNA lysine 39 (anticodon UUU) pseudogene	
TRK-TTT16-1	tRNA-Lys (TTT) 16-1	TRNAK32	tRNA-Lys-TTT-16-1	"transfer RNA lysine 32 (anticodon UUU), ""transfer RNA-Lys (TTT) 16-1"""	
TRK-TTT17-1	tRNA-Lys (TTT) 17-1	TRNAK41P	tRNA-Lys-TTT-17-1	"transfer RNA lysine 41 (anticodon UUU) pseudogene, ""transfer RNA-Lys (TTT) 17-1"""	
TRL-AAG1-1	tRNA-Leu (AAG) 1-1	TRNAL34	tRNA-Leu-AAG-1-1	"transfer RNA leucine 34 (anticodon AAG), ""transfer RNA-Leu (AAG) 1-1"""	
TRL-AAG1-2	tRNA-Leu (AAG) 1-2	TRNAL24	tRNA-Leu-AAG-1-2	"transfer RNA leucine 24 (anticodon AAG), ""transfer RNA-Leu (AAG) 1-2"""	
TRL-AAG1-3	tRNA-Leu (AAG) 1-3	TRNAL4	tRNA-Leu-AAG-1-3	"transfer RNA leucine 4 (anticodon AAG), ""transfer RNA-Leu (AAG) 1-3"""	
TRL-AAG2-1	tRNA-Leu (AAG) 2-1	"TRNAL32, TRL-AAG2-3"	tRNA-Leu-AAG-2-1	"transfer RNA leucine 32 (anticodon AAG), ""transfer RNA-Leu (AAG) 2-3"", ""transfer RNA-Leu (AAG) 2-1"""	
TRL-AAG2-2	tRNA-Leu (AAG) 2-2	"TRNAL20, TRL-AAG2-4"	tRNA-Leu-AAG-2-2	"transfer RNA leucine 20 (anticodon AAG), ""transfer RNA-Leu (AAG) 2-4"", ""transfer RNA-Leu (AAG) 2-2"""	
TRL-AAG2-3	tRNA-Leu (AAG) 2-3	"TRNP1, TRL1, TRNAL1, TRL-AAG2-1"	tRNA-Leu-AAG-2-3	"tRNA leucine 1, ""transfer RNA leucine 1 (anticodon CUU)"", ""transfer RNA leucine 1 (anticodon AAG)"", ""transfer RNA-Leu (AAG) 2-1"", ""transfer RNA-Leu (AAG) 2-3"""	
TRL-AAG2-4	tRNA-Leu (AAG) 2-4	"TRNAL27, TRL-AAG2-2"	tRNA-Leu-AAG-2-4	"transfer RNA leucine 27 (anticodon AAG), ""transfer RNA-Leu (AAG) 2-2"", ""transfer RNA-Leu (AAG) 2-4"""	
TRL-AAG3-1	tRNA-Leu (AAG) 3-1	TRNAL17	tRNA-Leu-AAG-3-1	"transfer RNA leucine 17 (anticodon AAG), ""transfer RNA-Leu (AAG) 3-1"""	
TRL-AAG4-1	tRNA-Leu (AAG) 4-1	TRNAL12	tRNA-Leu-AAG-4-1	"transfer RNA leucine 12 (anticodon AAG), ""transfer RNA-Leu (AAG) 4-1"""	
TRL-AAG5-1	tRNA-Leu (AAG) 5-1	TRNAL9	tRNA-Leu-AAG-5-1	"transfer RNA leucine 9 (anticodon AAG), ""transfer RNA-Leu (AAG) 5-1"""	
TRL-AAG6-1	transfer RNA-Leu (AAG) 6-1	TRNAL39	tRNA-Leu-AAG-6-1	transfer RNA leucine 39 (anticodon AAG)	
TRL-AAG7-1	transfer RNA-Leu (AAG) 7-1	TRNAL43P	tRNA-Leu-AAG-7-1	transfer RNA leucine 43 (anticodon AAG) pseudogene	
TRL-AAG8-1	tRNA-Leu (AAG) 8-1	TRNAL33	tRNA-Leu-AAG-8-1	"transfer RNA leucine 33 (anticodon AAG), ""transfer RNA-Leu (AAG) 8-1"""	
TRL-CAA1-1	tRNA-Leu (CAA) 1-1	TRNAL49	tRNA-Leu-CAA-1-1	"transfer RNA leucine 49 (anticodon CAA), ""transfer RNA-Leu (CAA) 1-1"""	
TRL-CAA1-2	tRNA-Leu (CAA) 1-2	TRNAL22	tRNA-Leu-CAA-1-2	"transfer RNA leucine 22 (anticodon CAA), ""transfer RNA-Leu (CAA) 1-2"""	
TRL-CAA2-1	tRNA-Leu (CAA) 2-1	TRNAL28	tRNA-Leu-CAA-2-1	"transfer RNA leucine 28 (anticodon CAA), ""transfer RNA-Leu (CAA) 2-1"""	
TRL-CAA3-1	tRNA-Leu (CAA) 3-1	TRNAL8	tRNA-Leu-CAA-3-1	"transfer RNA leucine 8 (anticodon CAA), ""transfer RNA-Leu (CAA) 3-1"""	
TRL-CAA4-1	tRNA-Leu (CAA) 4-1	TRNAL19	tRNA-Leu-CAA-4-1	"transfer RNA leucine 19 (anticodon CAA), ""transfer RNA-Leu (CAA) 4-1"""	
TRL-CAA5-1	tRNA-Leu (CAA) 5-1	TRNAL36	tRNA-Leu-CAA-5-1	"transfer RNA leucine 36 (anticodon CAA), ""transfer RNA-Leu (CAA) 5-1"""	
TRL-CAA6-1	tRNA-Leu (CAA) 6-1	TRNAL3	tRNA-Leu-CAA-6-1	"transfer RNA leucine 3 (anticodon CAA), ""transfer RNA-Leu (CAA) 6-1"""	
TRL-CAA7-1	tRNA-Leu (CAA) 7-1	TRNAL44P	tRNA-Leu-CAA-7-1	"transfer RNA leucine 44 (anticodon CAA) pseudogene, ""transfer RNA-Leu (CAA) 7-1"""	
TRL-CAG1-1	tRNA-Leu (CAG) 1-1	TRNAL38	tRNA-Leu-CAG-1-1	"transfer RNA leucine 38 (anticodon CAG), ""transfer RNA-Leu (CAG) 1-1"""	
TRL-CAG1-2	tRNA-Leu (CAG) 1-2	TRNAL5	tRNA-Leu-CAG-1-2	"transfer RNA leucine 5 (anticodon CAG), ""transfer RNA-Leu (CAG) 1-2"""	
TRL-CAG1-3	tRNA-Leu (CAG) 1-3	TRNAL30	tRNA-Leu-CAG-1-3	"transfer RNA leucine 30 (anticodon CAG), ""transfer RNA-Leu (CAG) 1-3"""	
TRL-CAG1-4	tRNA-Leu (CAG) 1-4	TRNAL35	tRNA-Leu-CAG-1-4	"transfer RNA leucine 35 (anticodon CAG), ""transfer RNA-Leu (CAG) 1-4"""	
TRL-CAG1-5	tRNA-Leu (CAG) 1-5	TRNAL14	tRNA-Leu-CAG-1-5	"transfer RNA leucine 14 (anticodon CAG), ""transfer RNA-Leu (CAG) 1-5"""	
TRL-CAG1-6	tRNA-Leu (CAG) 1-6	TRNAL6	tRNA-Leu-CAG-1-6	"transfer RNA leucine 6 (anticodon CAG), ""transfer RNA-Leu (CAG) 1-6"""	
TRL-CAG1-7	tRNA-Leu (CAG) 1-7	TRNAL26	tRNA-Leu-CAG-1-7	"transfer RNA leucine 26 (anticodon CAG), ""transfer RNA-Leu (CAG) 1-7"""	
TRL-CAG2-1	tRNA-Leu (CAG) 2-1	TRNAL13	tRNA-Leu-CAG-2-1	"transfer RNA leucine 13 (anticodon CAG), ""transfer RNA-Leu (CAG) 2-1"""	
TRL-CAG2-2	tRNA-Leu (CAG) 2-2	TRNAL11	tRNA-Leu-CAG-2-2	"transfer RNA leucine 11 (anticodon CAG), ""transfer RNA-Leu (CAG) 2-2"""	
TRL-CAG3-1	tRNA-Leu (CAG) 3-1	TRNAL21	tRNA-Leu-CAG-3-1	"transfer RNA leucine 21 (anticodon CAG), ""transfer RNA-Leu (CAG) 3-1"""	
TRL-TAA1-1	tRNA-Leu (TAA) 1-1	TRNAL29	tRNA-Leu-TAA-1-1	"transfer RNA leucine 29 (anticodon UAA), ""transfer RNA-Leu (TAA) 1-1"""	
TRL-TAA2-1	tRNA-Leu (TAA) 2-1	TRNAL16	tRNA-Leu-TAA-2-1	"transfer RNA leucine 16 (anticodon UAA), ""transfer RNA-Leu (TAA) 2-1"""	
TRL-TAA3-1	tRNA-Leu (TAA) 3-1	TRNAL23	tRNA-Leu-TAA-3-1	"transfer RNA leucine 23 (anticodon UAA), ""transfer RNA-Leu (TAA) 3-1"""	
TRL-TAA4-1	tRNA-Leu (TAA) 4-1	TRNAL10	tRNA-Leu-TAA-4-1	"transfer RNA leucine 10 (anticodon UAA), ""transfer RNA-Leu (TAA) 4-1"""	
TRL-TAA5-1	transfer RNA-Leu (TAA) 5-1	TRNAL18	tRNA-Leu-TAA-5-1	transfer RNA leucine 18 (anticodon UAA)	
TRL-TAG1-1	tRNA-Leu (TAG) 1-1	"TRL2, TRNAL2"	tRNA-Leu-TAG-1-1	"tRNA leucine 2, ""tRNA leucine 2 (anticodon UAG)"", ""transfer RNA leucine 2 (anticodon UAG)"", ""transfer RNA-Leu (TAG) 1-1"""	
TRL-TAG2-1	tRNA-Leu (TAG) 2-1	TRNAL15	tRNA-Leu-TAG-2-1	"transfer RNA leucine 15 (anticodon UAG), ""transfer RNA-Leu (TAG) 2-1"""	
TRL-TAG3-1	tRNA-Leu (TAG) 3-1	TRNAL7	tRNA-Leu-TAG-3-1	"transfer RNA leucine 7 (anticodon UAG), ""transfer RNA-Leu (TAG) 3-1"""	
TRL-TAG4-1	transfer RNA-Leu (TAG) 4-1	TRNAL40P	tRNA-Leu-TAG-4-1	transfer RNA leucine 40 (anticodon UAG) pseudogene	
TRM-CAT1-1	tRNA-Met (CAT) 1-1	TRNAM11	tRNA-Met-CAT-1-1	"transfer RNA methionine 11 (anticodon CAU), ""transfer RNA-Met (CAT) 1-1"""	
TRM-CAT2-1	tRNA-Met (CAT) 2-1	TRNAM9	tRNA-Met-CAT-2-1	"transfer RNA methionine 9 (anticodon CAU), ""transfer RNA-Met (CAT) 2-1"""	
TRM-CAT3-1	tRNA-Met (CAT) 3-1	TRNAM12	tRNA-Met-CAT-3-1	"transfer RNA methionine 12 (anticodon CAU), ""transfer RNA-Met (CAT) 3-1"""	
TRM-CAT3-2	tRNA-Met (CAT) 3-2	TRNAM8	tRNA-Met-CAT-3-2	"transfer RNA methionine 8 (anticodon CAU), ""transfer RNA-Met (CAT) 3-2"""	
TRM-CAT4-1	tRNA-Met (CAT) 4-1	TRNAM7	tRNA-Met-CAT-4-1	"transfer RNA methionine 7 (anticodon CAU), ""transfer RNA-Met (CAT) 4-1"""	
TRM-CAT4-2	tRNA-Met (CAT) 4-2	TRNAM19	tRNA-Met-CAT-4-2	"transfer RNA methionine 19 (anticodon CAU), ""transfer RNA-Met (CAT) 4-2"""	
TRM-CAT4-3	tRNA-Met (CAT) 4-3	TRNAM20	tRNA-Met-CAT-4-3	"transfer RNA methionine 20 (anticodon CAU), ""transfer RNA-Met (CAT) 4-3"""	
TRM-CAT5-1	tRNA-Met (CAT) 5-1	TRNAM16	tRNA-Met-CAT-5-1	"transfer RNA methionine 16 (anticodon CAU), ""transfer RNA-Met (CAT) 5-1"""	
TRM-CAT6-1	tRNA-Met (CAT) 6-1	TRNAM13	tRNA-Met-CAT-6-1	"transfer RNA methionine 13 (anticodon CAU), ""transfer RNA-Met (CAT) 6-1"""	
TRM-CAT7-1	tRNA-Met (CAT) 7-1	TRNAM5	tRNA-Met-CAT-7-1	"transfer RNA methionine 5 (anticodon CAU), ""transfer RNA-Met (CAT) 7-1"""	
TRMO	tRNA methyltransferase O	C9orf156	HSPC219	chromosome 9 open reading frame 156	
TRMT1	tRNA methyltransferase 1		"FLJ20244, TRM1"	tRNA methyltransferase 1 homolog (S. cerevisiae)	
TRMT1L	tRNA methyltransferase 1 like	C1orf25		"chromosome 1 open reading frame 25, ""TRM1 tRNA methyltransferase 1-like"", ""tRNA methyltransferase 1 homolog (S. cerevisiae)-like"", ""tRNA methyltransferase 1-like"""	
TRMT2A	tRNA methyltransferase 2 homolog A		HTF9C	tRNA methyltransferase 2 homolog A (S. cerevisiae)	
TRMT2B	tRNA methyltransferase 2 homolog B	CXorf34	FLJ12687	"chromosome X open reading frame 34, ""tRNA methyltransferase 2 homolog B (S. cerevisiae)"""	
TRMT2B-AS1	TRMT2B antisense RNA 1			TRMT2B antisense RNA 1 (non-protein coding)	
TRMT5	tRNA methyltransferase 5	KIAA1393	TRM5	"KIAA1393, ""tRNA methyltransferase 5 homolog (S. cerevisiae)"""	
TRMT6	tRNA methyltransferase 6		"GCD10, MGC5029, Gcd10p, CGI-09"	tRNA methyltransferase 6 homolog (S. cerevisiae)	
TRMT9B	tRNA methyltransferase 9B (putative)	"C8orf79, KIAA1456"	"FLJ36980, TRM9L, hTRM9L"	"chromosome 8 open reading frame 79, ""KIAA1456"""	
TRMT10A	tRNA methyltransferase 10A	RG9MTD2	"MGC27034, TRM10"	"RNA (guanine-9-) methyltransferase domain containing 2, ""tRNA methyltransferase 10 homolog A (S. cerevisiae)"""	
TRMT10B	tRNA methyltransferase 10B	RG9MTD3	"FLJ31455, bA3J10.9"	"RNA (guanine-9-) methyltransferase domain containing 3, ""tRNA methyltransferase 10 homolog B (S. cerevisiae)"""	
TRMT10BP1	tRNA methyltransferase 10B pseudogene 1				
TRMT10C	"tRNA methyltransferase 10C, mitochondrial RNase P subunit"	RG9MTD1	"FLJ20432, MRPP1"	"RNA (guanine-9-) methyltransferase domain containing 1, ""tRNA methyltransferase 10 homolog C (S. cerevisiae)"""	
TRMT11	tRNA methyltransferase 11 homolog	C6orf75	"MDS024, dJ187J11.2, TRM11, TRMT11-1"	"chromosome 6 open reading frame 75, ""tRNA methyltransferase 11 homolog (S. cerevisiae)"""	
TRMT12	tRNA methyltransferase 12 homolog		"FLJ20772, Trm12, TYW2"	"tRNA methyltranferase 12 homolog (S. cerevisiae), ""tRNA methyltransferase 12 homolog (S. cerevisiae)"""	
TRMT13	tRNA methyltransferase 13 homolog	CCDC76	"FLJ10287, FLJ11219"	"coiled-coil domain containing 76, ""tRNA methyltransferase 13 homolog (S. cerevisiae)"""	
TRMT44	tRNA methyltransferase 44 homolog	"C4orf23, METTL19"	"FLJ35725, TRM44"	"chromosome 4 open reading frame 23, ""methyltransferase like 19"", ""tRNA methyltransferase 44 homolog (S. cerevisiae)"""	
TRMT61A	tRNA methyltransferase 61A	C14orf172	"FLJ40452, GCD14, Gcd14p, hTRM61"	"chromosome 14 open reading frame 172, ""tRNA methyltransferase 61 homolog A (S. cerevisiae)"""	
TRMT61B	tRNA methyltransferase 61B		FLJ20628	tRNA methyltransferase 61 homolog B (S. cerevisiae)	
TRMT112	tRNA methyltransferase subunit 11-2		"HSPC152, HSPC170, TRM112, TRMT11-2, hTrm112"	tRNA methyltransferase 11-2 homolog (S. cerevisiae)	
TRMT112P1	tRNA methyltransferase subunit 11-2 pseudogene 1			tRNA methyltransferase 11-2 homolog (S. cerevisiae) pseudogene 1	
TRMT112P2	tRNA methyltransferase subunit 11-2 pseudogene 2			tRNA methyltransferase 11-2 homolog (S. cerevisiae) pseudogene 2	
TRMT112P3	tRNA methyltransferase subunit 11-2 pseudogene 3			tRNA methyltransferase 11-2 homolog (S. cerevisiae) pseudogene 3	
TRMT112P4	tRNA methyltransferase subunit 11-2 pseudogene 4			tRNA methyltransferase 11-2 homolog (S. cerevisiae) pseudogene 4	
TRMT112P5	tRNA methyltransferase subunit 11-2 pseudogene 5			tRNA methyltransferase 11-2 homolog (S. cerevisiae) pseudogene 5	
TRMT112P6	tRNA methyltransferase subunit 11-2 pseudogene 6			tRNA methyltransferase 11-2 homolog (S. cerevisiae) pseudogene 6	
TRMT112P7	tRNA methyltransferase subunit 11-2 pseudogene 7			tRNA methyltransferase 11-2 homolog (S. cerevisiae) pseudogene 7	
TRMU	tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase	TRMT	"FLJ10140, MTO2"	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase 	
TRN-ATT1-1	tRNA-Asn (ATT) 1-1	TRNAN26	tRNA-Asn-ATT-1-1	"transfer RNA asparagine 26 (anticodon AUU), ""transfer RNA-Asn (ATT) 1-1"""	
TRN-ATT1-2	tRNA-Asn (ATT) 1-2		tRNA-Asn-ATT-1-2	transfer RNA-Asn (ATT) 1-2	
TRN-GTT1-1	tRNA-Asn (GTT) 1-1	TRNAN14	tRNA-Asn-GTT-1-1	"transfer RNA asparagine 14 (anticodon GUU), ""transfer RNA-Asn (GTT) 1-1"""	
TRN-GTT2-1	tRNA-Asn (GTT) 2-1	"RNN, TRN, TRN1, TRNAN1"	tRNA-Asn-GTT-2-1	"tRNA asparagine, ""tRNA asparagine 1 (anticodon GUU)"", ""transfer RNA asparagine 1 (anticodon GUU)"", ""transfer RNA-Asn (GTT) 2-1"""	
TRN-GTT2-2	tRNA-Asn (GTT) 2-2	TRNAN32	tRNA-Asn-GTT-2-2	"transfer RNA asparagine 32 (anticodon GUU), ""transfer RNA-Asn (GTT) 2-2"""	
TRN-GTT2-3	tRNA-Asn (GTT) 2-3	TRNAN11	tRNA-Asn-GTT-2-3	"transfer RNA asparagine 11 (anticodon GUU), ""transfer RNA-Asn (GTT) 2-3"""	
TRN-GTT2-4	tRNA-Asn (GTT) 2-4	TRNAN7	tRNA-Asn-GTT-2-4	"transfer RNA asparagine 7 (anticodon GUU), ""transfer RNA-Asn (GTT) 2-4"""	
TRN-GTT2-5	tRNA-Asn (GTT) 2-5	TRNAN17	tRNA-Asn-GTT-2-5	"transfer RNA asparagine 17 (anticodon GUU), ""transfer RNA-Asn (GTT) 2-5"""	
